pid|parent_pid|cpu_use_percent|mem_use_percent|mem_use_bytes|name|command|read_bytes_per_sec|write_bytes_per_sec|total_read_bytes|total_write_bytes|process_state|process_state_char|uid
650|0|0|0|0|deleted_helper|deleted_helper|0|0|0|0|Unknown|?|0
530|1|0|0.04835019405561242|17011712|triald|/usr/libexec/triald|0|0|4714496|4354048|Runnable|R|501
423|1|0|0.06360933252750647|22380544|WiFiAgent|/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent|0|0|258048|0|Runnable|R|501
475|1|0|0.02331507882859875|8203264|com.apple.hiservices-xpcservice|/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice|0|0|0|0|Runnable|R|501
411|1|0|0.0812520747393359|28588032|itunescloudd|/System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd|0|0|16314368|6303744|Runnable|R|501
359|0|0|0|0|adid|adid|0|0|0|0|Unknown|?|0
267|0|0|0|0|com.apple.AppleUserHIDDrivers|com.apple.AppleUserHIDDrivers|0|0|0|0|Unknown|?|0
259|0|0|0|0|searchpartyd|searchpartyd|0|0|0|0|Unknown|?|0
239|0|0|0|0|colorsync.displayservices|colorsync.displayservices|0|0|0|0|Unknown|?|0
12292|0|0|0|0|containermanagerd|containermanagerd|0|0|0|0|Unknown|?|0
528|1|0|0.09202922327288991|32379904|translationd|/System/Library/PrivateFrameworks/Translation.framework/translationd|0|0|1396736|237568|Runnable|R|501
401|1|0|0.009630457601277401|3388416|csnameddatad|/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad|0|0|0|0|Runnable|R|501
412|1|0|0.04801550000177533|16893952|siriknowledged|/usr/libexec/siriknowledged|0|0|3117056|24576|Runnable|R|501
498|1|0|0.11591764756762697|40784896|CoreServicesUIAgent|/System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent|0|0|688128|65536|Runnable|R|501
101|0|0|0|0|iStatMenusFans|iStatMenusFans|0|0|0|0|Unknown|?|0
13012|1|0|0.08630741014381425|30366720|PAH_Extension|/System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-US")|0|0|565248|0|Runnable|R|501
17346|1|0|0.029132934599210274|10250240|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|65536|0|Runnable|R|501
1184|1|0|0.010250369196645213|3606528|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|0|0|Runnable|R|501
440|1|0|0.026845373500810746|9445376|cdpd|/System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd|0|0|299008|0|Runnable|R|501
429|1|0|0.17652346475983025|62108672|cloudd|/System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd|0|0|2123116544|76247040|Runnable|R|501
25622|0|0|0|0|package_script_service|package_script_service|0|0|0|0|Unknown|?|0
540|452|0|0.5536538142403763|194799616|Code Helper (GPU)|/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --field-trial-handle=1718379636,12613057910318958120,7186265368457246828,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WindowCaptureMacV2 --disable-color-correct-rendering --user-data-dir=/Users/fdncred/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABQBAAAAAAAAFAEAAAAAAAAcAEAAC0AAABoAQAAAAAAAHABAAAAAAAAeAEAAAAAAACAAQAAAAAAAIgBAAAAAAAAkAEAAAAAAACYAQAAAAAAAKABAAAAAAAAqAEAAAAAAACwAQAAAAAAALgBAAAAAAAAwAEAAAAAAADIAQAAAAAAANABAAAAAAAA2AEAAAAAAADgAQAAAAAAAOgBAAAAAAAA8AEAAAAAAAD4AQAAAAAAAAACAAAAAAAACAIAAAAAAAAQAgAAAAAAABgCAAAAAAAAIAIAAAAAAAAoAgAAAAAAADACAAAAAAAAOAIAAAAAAABAAgAAAAAAAEgCAAAAAAAAUAIAAAAAAABYAgAAAAAAAGACAAAAAAAAaAIAAAAAAABwAgAAAAAAAHgCAAAAAAAAgAIAAAAAAACIAgAAAAAAAJACAAAAAAAAmAIAAAAAAACgAgAAAAAAAKgCAAAAAAAAsAIAAAAAAAC4AgAAAAAAAMACAAAAAAAAyAIAAAAAAAAQAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAgAAABAAAAAAAAAAAAAAAAYAAAAQAAAAAAAAAAAAAAAHAAAAEAAAAAAAAAAAAAAACAAAABAAAAAAAAAAAAAAAAoAAAAQAAAAAAAAAAAAAAALAAAAEAAAAAAAAAAAAAAADQAAABAAAAAAAAAAAAAAAA4AAAAQAAAAAAAAAAEAAAAAAAAAEAAAAAAAAAABAAAAAgAAABAAAAAAAAAAAQAAAAYAAAAQAAAAAAAAAAEAAAAHAAAAEAAAAAAAAAABAAAACAAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAAEAAAAAAAAAABAAAADQAAABAAAAAAAAAAAQAAAA4AAAAQAAAAAAAAAAQAAAAAAAAAEAAAAAAAAAAEAAAAAgAAABAAAAAAAAAABAAAAAYAAAAQAAAAAAAAAAQAAAAHAAAAEAAAAAAAAAAEAAAACAAAABAAAAAAAAAABAAAAAoAAAAQAAAAAAAAAAQAAAALAAAAEAAAAAAAAAAEAAAADQAAABAAAAAAAAAABAAAAA4AAAAQAAAAAAAAAAcAAAAAAAAAEAAAAAAAAAAHAAAAAgAAABAAAAAAAAAABwAAAAYAAAAQAAAAAAAAAAcAAAAHAAAAEAAAAAAAAAAHAAAACAAAABAAAAAAAAAABwAAAAoAAAAQAAAAAAAAAAcAAAALAAAAEAAAAAAAAAAHAAAADQAAABAAAAAAAAAABwAAAA4AAAAQAAAAAAAAAAoAAAAAAAAAEAAAAAAAAAAKAAAAAgAAABAAAAAAAAAACgAAAAYAAAAQAAAAAAAAAAoAAAAHAAAAEAAAAAAAAAAKAAAACAAAABAAAAAAAAAACgAAAAoAAAAQAAAAAAAAAAoAAAALAAAAEAAAAAAAAAAKAAAADQAAABAAAAAAAAAACgAAAA4AAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --seatbelt-client=39|0|0|8867840|4390912|Runnable|R|501
15241|1|0|0.010916846921242531|3841024|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|0|0|Runnable|R|501
474|0|0|0|0|automountd|automountd|0|0|0|0|Unknown|?|0
242|0|0|0|0|mDNSResponder|mDNSResponder|0|0|0|0|Unknown|?|0
14907|1|0|0.019976869439458474|7028736|XprotectService|/System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService|0|0|81920|0|Runnable|R|501
687|0|0|0|0|cloudd|cloudd|0|0|0|0|Unknown|?|0
14945|1|0|0.07920025467016076|27866112|CoreSpotlightService|/System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService|0|0|1904640|45199360|Runnable|R|501
631|1|0|0.07777125657943026|27363328|Siri|/System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd|0|0|458752|0|Runnable|R|501
7581|0|0|0|0|UARPUpdaterServiceUSBPD|UARPUpdaterServiceUSBPD|0|0|0|0|Unknown|?|0
119|0|0|0|0|apsd|apsd|0|0|0|0|Unknown|?|0
414|1|0|0.15272817272355219|53736448|secd|/usr/libexec/secd|0|0|48111616|161079296|Runnable|R|501
148|0|0.47000000000000003|0|0|WindowServer|WindowServer|0|0|0|0|Unknown|?|0
684|0|0|0|0|rtcreportingd|rtcreportingd|0|0|0|0|Unknown|?|0
754|1|0|0.07233466099188533|25450496|contactsdonationagent|/System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent|0|0|249856|0|Runnable|R|501
517|1|0|0.019025174173330425|6693888|pbs|/System/Library/CoreServices/pbs|0|0|3096576|1044480|Runnable|R|501
25780|1|0|0.044726767124941405|15736832|com.apple.SafariServices|/System/Library/Frameworks/SafariServices.framework/Versions/A/XPCServices/com.apple.SafariServices.xpc/Contents/MacOS/com.apple.SafariServices|0|0|208896|0|Runnable|R|501
226|0|0|0|0|secinitd|secinitd|0|0|0|0|Unknown|?|0
155|0|0|0|0|logd_helper|logd_helper|0|0|0|0|Unknown|?|0
30779|0|0|0|0|distnoted|distnoted|0|0|0|0|Unknown|?|0
731|1|0|0.11882512026139432|41807872|AMPLibraryAgent|/System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd|0|0|48869376|413696|Runnable|R|501
654|1|0|0.024936162202400962|8773632|replayd|/usr/libexec/replayd|0|0|675840|0|Runnable|R|501
37417|1|0|0.05025649497094536|17682432|mdworker_shared|/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared|0|0|0|32768|Runnable|R|501
27813|1|0|0.031612580980681516|11122688|com.apple.CharacterPicker.FileService|/System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService|0|0|180224|0|Runnable|R|501
15076|1|0|0.05235488116935001|18420736|QuickLookSatellite|/System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite|0|0|1548288|32768|Runnable|R|501
815|0|0|0|0|dprivacyd|dprivacyd|0|0|0|0|Unknown|?|0
813|1|0|0.06022164662605984|21188608|adprivacyd|/usr/libexec/adprivacyd|0|0|876544|454656|Runnable|R|501
669|0|0|0|0|seld|seld|0|0|0|0|Unknown|?|0
623|1|0|0.14920078843441706|52495360|IMTranscoderAgent|/System/iOSSupport/System/Library/PrivateFrameworks/IMTranscoding.framework/XPCServices/IMTranscoderAgent.xpc/Contents/MacOS/IMTranscoderAgent|0|0|3186688|5586944|Runnable|R|501
